Exercise Number,Varient,Time Taken,TimeStamp when Leave
Home, , ,12:34:22
Disclaimer, , ,12:34:22
Pigpen Cipher, , ,12:34:23
Procedure, , ,12:34:23
Part 1 , , ,12:34:24
Exercise 1 Before, , ,12:34:24
Exercise 1,Varient 27,3.248759,Wednesday, 25 November 2020 12:34:31
Exercise 2 Before, , ,12:34:32
Exercise 2,Varient 67,2.173955,Wednesday, 25 November 2020 12:34:38
Exercise 3 Before, , ,12:34:40
Exercise 3,Varient 70,2.435852,Wednesday, 25 November 2020 12:34:46
Rest, , ,12:34:47
Part 2, , ,12:34:49
Exercise 4 Before, , ,12:34:50
Exercise 4,Varient 58,1.441488,Wednesday, 25 November 2020 12:34:54
Exercise 5 Before, , ,12:34:55
Exercise 5,Varient 29,1.689892,Wednesday, 25 November 2020 12:35:00
Exercise 6 Before, , ,12:35:00
Exercise 6,Varient 75,1.938477,Wednesday, 25 November 2020 12:35:05
End, , ,12:35:06
